79.84.128.88:8002 - - [19/Apr/2023:15:30:54 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
79.84.128.88:8002 - - [19/Apr/2023:15:30:57 +0000] GET /upload/index.html HTTP/1.1 /upload/index.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Mobile/15E148 Safari/604.1"
localhost:8000 - - [20/Apr/2023:01:58:25 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:01:59:11 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:01:59:12 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:01:59:53 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:01:59:54 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:00:49 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:00:50 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:01:01 +0000] GET /upload/tools/Dinocry.png HTTP/1.1 /upload/tools/Dinocry.png HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:01:02 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
localhost:8000 - - [20/Apr/2023:02:01:44 +0000] GET /upload/authenticated.html HTTP/1.1 /upload/authenticated.html HTTP/1.1" 404 1127 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
